# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:36:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b541080b66.json
# init = 2 (Default)
# random
#   seed = 1407515429
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252136-1-688615.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252136-1-415331.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-9.6626797,0.086856586,1,2,3,0,10.621997,0.47794091,1.1524436,0.55079995,0.60164367,-0.32678926,-0.42491384,-0.49467636,-0.42059686,-0.63473772,6,4,6,5,4,5,3,8,3,3,-0.57194005,0.4575146,3.6912499,1.6888007,2.0024492
-9.6626797,0,2.7345331,0,1,1,10.096647,0.47794091,1.1524436,0.55079995,0.60164367,-0.32678926,-0.42491384,-0.49467636,-0.42059686,-0.63473772,4,3,6,4,6,7,2,6,5,4,-0.57194005,0.52058455,2.9734294,1.5479214,1.425508
-8.8373618,0.97256651,0.28254198,2,3,0,10.24072,0.51701764,1.5765897,0.81512467,0.76146499,-0.31249306,-0.36085208,-0.43057044,-0.37355292,-0.56363136,6,4,7,3,3,5,2,5,6,5,-0.38992614,0.5404671,2.1414377,1.1573766,0.9840611
-8.7384362,1,0.28093231,1,1,0,8.8296642,0.51849847,1.6766273,0.86932868,0.80729859,-0.30694917,-0.35068113,-0.42141253,-0.36441529,-0.55631357,8,3,4,3,2,8,1,5,3,2,-0.40068796,0.47321915,2.7173378,1.2858963,1.4314415
-8.9975466,0.99606753,0.38434832,2,7,0,9.1375684,0.7322321,3.0855545,2.2593421,0.82621244,-0.46253046,-0.31801766,-0.27836505,-0.40057371,-0.3181041,8,3,6,4,4,7,1,8,2,5,-1.5660462,0.63368623,1.0698284,0.67793553,0.39189288
-10.41653,0.5612638,0.59845868,1,1,0,10.523891,0.71308486,5.621841,4.0088497,1.6129913,-0.42881396,-0.25998519,-0.23333843,-0.35045296,-0.28579833,7,1,2,3,4,8,1,7,3,7,-3.8837089,0.57113709,1.5849193,0.9052062,0.67971309
-11.75864,0.93409499,0.26704188,3,7,0,13.013683,0.37173365,0.74621954,0.27739491,0.46882462,-0.3492448,-0.5499626,-0.61477681,-0.50567889,-0.78446606,4,3,4,4,5,6,5,5,4,3,-1.5395943,0.48319069,1.551921,0.74987376,0.80204719
-11.572824,1,0.38172607,1,1,0,12.095273,0.36964366,0.77718558,0.28728172,0.48990386,-0.34030478,-0.54218688,-0.60833581,-0.49627161,-0.78279925,6,5,6,3,1,7,7,4,2,5,-1.4255358,0.55858248,1.140559,0.63709626,0.50346271
-9.3839652,1,0.69347661,1,1,0,10.622182,0.3393516,1.7710926,0.6010231,1.1700695,-0.1904636,-0.41824882,-0.51008552,-0.33772313,-0.78022077,8,4,6,6,1,4,4,5,1,5,-0.53042962,0.13438159,1.3337583,0.17923256,1.1545257
-9.3839652,1.4465014e-13,1.2874144,1,1,0,13.774504,0.3393516,1.7710926,0.6010231,1.1700695,-0.1904636,-0.41824882,-0.51008552,-0.33772313,-0.78022077,6,2,6,3,4,7,2,7,3,7,-0.53042962,0.4728213,2.3003978,1.0876771,1.2127207
