# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:36:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b51b682183.json
# init = 2 (Default)
# random
#   seed = 1530396534
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252136-1-0218eb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252136-1-0c9965.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-9.5689774,0.96107519,0.80535228,1,3,0,9.5962805,0.83576315,2.8229063,2.3592811,0.46362525,-1.1629969,-0.067085937,0.48030755,-0.28403809,-0.50205301,4,6,8,6,1,6,2,8,6,3,-1.6951802,0.85806938,1.3770666,1.1816187,0.19544792
-9.5689774,0.19058635,1.3419382,1,3,0,10.547123,0.83576315,2.8229063,2.3592811,0.46362525,-1.1629969,-0.067085937,0.48030755,-0.28403809,-0.50205301,1,5,7,5,3,4,1,8,5,1,-1.6951802,0.079339146,4.2911086,0.34045289,3.9506557
-9.6246927,0.9582581,0.2150026,2,5,0,11.495645,0.76215204,1.3027696,0.99290854,0.30986111,-1.2155997,-0.19574242,0.25304501,-0.41811536,-0.50579465,4,2,8,4,3,7,5,8,2,3,-0.77374689,0.44588778,1.6181221,0.72150086,0.89662122
-9.2462782,0.98627632,0.35681251,2,7,0,10.170619,0.5339313,2.3725921,1.2668012,1.1057909,-1.9671166,-0.23538535,-0.28339664,-0.51111494,-0.32162909,6,4,8,4,3,5,5,8,6,1,-0.74729507,0.77005104,3.1092272,2.3942637,0.71496356
-9.1018113,0.62927123,0.63904864,2,3,0,10.413026,0.74517936,1.6744635,1.2477757,0.42668787,-1.3009276,-0.1616561,0.23290163,-0.38495655,-0.46513394,7,4,7,2,3,4,2,7,5,2,-0.67397254,0.62103043,1.5577831,0.96743072,0.59035239
-10.565109,0.91222575,0.39473427,2,7,0,11.111653,0.35560083,1.9093917,0.67898128,1.2304105,-2.4622322,-0.39702274,-0.74077368,-0.7545941,-0.32610095,2,4,8,6,5,4,4,7,6,3,-0.55849893,0.34796296,2.209627,0.76886833,1.4407586
-9.6237132,0.95336676,0.56370108,3,7,0,11.066726,0.47667786,1.7327746,0.82597528,0.90679932,-2.0255481,-0.30705432,-0.4136723,-0.59932627,-0.35078314,5,5,8,6,2,2,4,6,5,2,-0.4133687,0.6851491,2.1983015,1.5061643,0.69213718
-9.3786983,0.99344099,0.90213654,2,3,0,9.813378,0.78636146,3.2510315,2.5564859,0.69454564,-1.3066269,-0.066853898,0.36668615,-0.28574621,-0.44433767,5,5,5,3,6,6,1,8,4,3,-1.8688648,0.36563428,3.0416426,1.1121288,1.9295138
-10.224726,0.095675504,1.608006,1,3,1,10.881977,0.45355518,1.2613892,0.57210959,0.68927958,-1.9510203,-0.35865612,-0.44477344,-0.65111263,-0.40054627,2,4,7,5,5,5,4,8,5,4,-0.48612528,0.1881722,2.060591,0.38774595,1.6728451
-9.5492258,0.98773367,0.21832873,2,7,0,10.963757,0.55926011,3.3915651,1.8967671,1.494798,-1.990954,-0.18831822,-0.22741272,-0.4591707,-0.29294847,4,6,6,4,3,5,4,7,5,3,-1.6136372,0.25294141,4.9786916,1.2593173,3.7193743
-8.8623734,0.93560207,0.38391081,3,7,0,11.774676,0.70891903,2.0233033,1.4343582,0.58894509,-1.4279959,-0.15044618,0.1567629,-0.37833234,-0.42098967,8,4,7,4,2,3,2,8,4,1,-0.7171995,0.597051,0.58322125,0.34821283,0.23500842
-9.2602594,0.97095608,0.57764824,2,7,0,9.2627921,0.52910645,2.3089327,1.2216712,1.0872615,-1.9731387,-0.24131346,-0.29491813,-0.5184642,-0.32350208,4,4,4,1,4,3,2,8,5,6,-0.70177001,0.5303691,2.0772086,1.1016872,0.97552134
-9.4209744,0.70711946,0.95257416,1,1,0,9.8328951,0.64165042,3.6709124,2.3554425,1.3154699,-1.7437951,-0.1265789,-0.0052798876,-0.37075315,-0.32580327,3,1,7,4,4,5,3,6,3,3,-1.9420398,0.39615645,1.0987267,0.43526768,0.66345904
-9.6615487,0.95432529,0.75174983,2,3,0,9.7537127,0.70900627,4.1397921,2.9351385,1.2046535,-1.5592893,-0.079409742,0.17499677,-0.30842658,-0.36313451,1,3,7,6,3,5,3,7,3,3,-2.4915297,0.1468216,4.1425919,0.60822197,3.5343699
-10.104056,1,1.1721604,1,1,0,10.295149,0.88531142,2.3410484,2.0725569,0.26849152,-1.0270683,-0.08042335,0.58247097,-0.29870875,-0.56628029,4,3,6,4,2,4,1,8,2,1,-1.6215635,0.5877239,2.0326773,1.194653,0.83802428
-10.104056,1.2743e-14,2.0539393,1,1,0,10.590221,0.88531142,2.3410484,2.0725569,0.26849152,-1.0270683,-0.08042335,0.58247097,-0.29870875,-0.56628029,3,1,4,5,2,6,3,6,6,2,-1.6215635,0.16826524,1.0085935,0.16971122,0.83888223
-9.501107,0.98008907,0.24116595,3,7,0,10.748153,0.77134158,3.6209217,2.7929675,0.82795425,-1.3615174,-0.062411021,0.33319371,-0.28253512,-0.42413406,3,2,5,5,2,6,2,8,2,2,-2.1605883,0.29846756,2.4409972,0.72855848,1.7124387
-8.8303995,0.93637331,0.4021712,2,3,0,10.222448,0.67273803,2.1541349,1.4491684,0.70496642,-1.5367653,-0.1600037,0.070541991,-0.39439241,-0.39251634,5,4,6,8,2,6,2,8,4,3,-0.7258384,0.31664835,1.3685998,0.43336486,0.93523491
-8.8697366,0.94110614,0.59237048,2,3,0,9.0146736,0.69975724,1.9568605,1.3693273,0.58753322,-1.444224,-0.15881389,0.13365111,-0.38808136,-0.41887498,4,3,8,3,4,3,5,8,4,2,-0.66651001,0.73379752,2.0794849,1.5259209,0.55356404
-8.8697366,0.099351714,0.87797065,1,1,0,9.605462,0.69975724,1.9568605,1.3693273,0.58753322,-1.444224,-0.15881389,0.13365111,-0.38808136,-0.41887498,3,4,6,3,1,6,2,8,3,4,-0.66651001,0.4160582,1.5462891,0.64334627,0.90294286
