# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:36:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b510f04f93.json
# init = 2 (Default)
# random
#   seed = 576514038
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252136-2-6ca91c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252136-2-06c6bb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-14.297375,0.71272647,0.5,2,7,0,25.813815,0.82087704,3.5291058,2.8969619,0.63214387,-2.1979022,-0.48488727,-0.47552337,-1.1619808,-0.47552337,1,5,3,4,8,4,6,6,3,5,-2.2571559,0.56569463,3.0801631,1.7424318,1.3377314
-14.297375,0,8.5327009,0,1,1,14.481935,0.82087704,3.5291058,2.8969619,0.63214387,-2.1979022,-0.48488727,-0.47552337,-1.1619808,-0.47552337,2,6,4,4,6,1,6,6,7,6,-2.2571559,0.41859439,1.6353486,0.68454776,0.95080087
-14.297375,0.011446803,1.2352351,1,3,1,15.699186,0.82087704,3.5291058,2.8969619,0.63214387,-2.1979022,-0.48488727,-0.47552337,-1.1619808,-0.47552337,5,5,8,4,7,3,4,8,4,6,-2.2571559,0.63290523,0.9719919,0.61517876,0.35681314
-14.059428,0.99979084,0.11498201,4,15,0,15.603279,0.8507471,1.2390079,1.0540824,0.18492552,-1.8741962,-0.61339815,-0.57495441,-1.0974413,-0.57495441,3,8,6,4,4,4,7,8,5,3,-1.1706645,0.59379544,3.4014759,2.0197809,1.3816951
-11.162697,0.99902888,0.14739189,4,15,0,14.4815,0.67751078,1.7512385,1.1864829,0.56475553,-1.4818006,-0.45367076,-0.41908822,-0.79521814,-0.41908822,5,7,5,5,6,1,4,7,5,7,-0.5506549,0.57129768,0.89243653,0.50984691,0.38258961
-11.288555,0.95945678,0.22208075,3,15,0,13.236052,0.48283395,5.4187227,2.6163433,2.8023794,-1.1015384,-0.30194032,-0.23243058,-0.4425144,-0.23243058,4,3,3,2,6,3,3,8,3,6,-3.4982391,0.33943915,1.3429631,0.45585426,0.88710883
-11.234649,0.94985336,0.32654102,2,7,0,14.686629,0.65019221,3.0816993,2.0036969,1.0780024,-1.5183587,-0.37310268,-0.34491376,-0.76218011,-0.34491376,1,3,7,2,6,4,6,7,5,8,-1.4141971,0.76709497,1.3891377,1.0656005,0.32353716
-11.097197,1,0.49188259,2,7,0,12.224494,0.074658071,1.7529869,0.13087462,1.6221122,-0.51406854,-0.68790163,-0.39298462,-0.12007935,-0.39298462,3,7,7,3,8,6,1,6,4,7,-1.7025378,0.66749458,1.2318578,0.82225843,0.40959941
-11.097197,0.20661918,0.89578628,1,1,0,12.048826,0.074658071,1.7529869,0.13087462,1.6221122,-0.51406854,-0.68790163,-0.39298462,-0.12007935,-0.39298462,6,4,6,3,3,2,5,2,3,5,-1.7025378,0.38105104,1.7483002,0.66619159,1.0821086
-11.255842,0.97879468,0.13593819,3,15,0,13.592624,0.069408403,3.239939,0.22487899,3.01506,-0.44743241,-0.66531102,-0.32558807,-0.042664944,-0.32558807,3,6,5,2,7,4,2,5,2,4,-2.8147021,0.31466531,2.7060641,0.85150449,1.8545596
