# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:36:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b5375690dd.json
# init = 2 (Default)
# random
#   seed = 1393942951
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252136-2-1bd80b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252136-2-080e48.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-9.5305354,0.33335351,1,2,3,0,10.529117,0.40623809,1.8808826,0.76408616,1.1167965,-0.66630644,-0.89843109,-0.32991136,-0.42950264,-0.9081031,4,1,8,4,6,7,4,4,4,7,-0.49540716,0.58653474,5.1392471,3.014347,2.1249001
-9.5305354,0,4.2807873,0,1,1,11.458056,0.40623809,1.8808826,0.76408616,1.1167965,-0.66630644,-0.89843109,-0.32991136,-0.42950264,-0.9081031,4,2,8,4,3,2,3,6,5,8,-0.49540716,0.79562957,2.6099559,2.0765581,0.53339782
-11.580583,0.63911979,0.50513513,2,3,0,12.148185,0.27646773,0.87779656,0.24268243,0.63511414,-0.66389075,-0.76840908,-0.47318175,-0.61366103,-0.75079888,2,6,8,6,5,4,1,4,7,2,-1.2692264,0.265591,1.9289567,0.51231355,1.4166432
-10.329872,0.98865796,0.22283224,3,7,0,12.698192,0.1758582,3.160132,0.55573514,2.6043969,-0.45678448,-0.55271787,-0.28956038,-0.53229362,-0.5462031,1,4,6,5,7,1,5,4,7,3,-1.9346871,0.38579614,3.5973589,1.3878472,2.2095117
-9.9477276,0.99914457,0.29024211,3,7,0,10.742234,0.44195053,1.4415838,0.63710873,0.80447507,-0.71442351,-0.95402416,-0.37556897,-0.46233127,-0.9600574,3,2,6,5,4,2,1,6,5,7,-0.41402706,0.66701434,2.0997705,1.400577,0.69919345
-11.44064,0.89224303,0.45055576,2,7,0,11.487573,0.60156118,4.2599764,2.5626364,1.69734,-0.89597961,-1.4157383,-0.29316766,-0.32731305,-1.4125949,2,3,7,4,5,3,2,4,4,3,-2.455148,0.61757982,2.2267426,1.3751913,0.85155128
-9.560913,0.87508199,0.54965111,2,3,0,12.265931,0.44823493,2.2797823,1.021878,1.2579042,-0.69683648,-0.98008839,-0.30775073,-0.39185904,-0.99345185,6,5,8,5,1,1,3,6,2,6,-0.68946931,0.35209253,1.5842686,0.55780915,1.0264595
-9.6695889,0.96483512,0.66173714,1,1,0,9.6865696,0.46055161,1.8374454,0.84623842,0.99120696,-0.71789563,-0.99456309,-0.33936949,-0.41967052,-1.0048651,2,4,8,4,4,3,1,8,2,3,-0.44931886,0.54405811,2.1081893,1.1469775,0.96121182
-9.6695889,0.06217607,1.0821241,1,1,0,10.138531,0.46055161,1.8374454,0.84623842,0.99120696,-0.71789563,-0.99456309,-0.33936949,-0.41967052,-1.0048651,7,4,6,4,4,2,1,6,5,4,-0.44931886,0.42551275,1.4669857,0.62422112,0.84276456
-10.953845,0.99546989,0.10416304,4,23,0,11.282414,0.12511586,3.2719682,0.4093751,2.8625931,-0.42592833,-0.49655616,-0.30252832,-0.58963455,-0.48157494,2,3,7,6,3,5,5,5,5,8,-2.3162118,0.50927681,1.2626492,0.64303797,0.61961125
-13.113885,0.98779512,0.19204936,4,15,0,13.752933,0.042117079,1.5369143,0.064730343,1.472184,-0.4807917,-0.5110795,-0.42411048,-0.73597664,-0.47107696,1,8,7,7,3,3,6,6,7,5,-2.2128683,0.20097248,0.82410017,0.16562146,0.65847871
-10.223689,0.86565864,0.34912254,3,7,0,15.901094,0.54542527,2.988772,1.6301517,1.3586202,-0.80682136,-1.2176443,-0.29996578,-0.35171434,-1.2267019,4,3,7,3,8,2,3,4,2,3,-1.2462274,0.23158778,1.9679047,0.45574267,1.512162
-10.158042,0.99887346,0.43367338,2,3,0,10.337955,0.51735122,3.1942212,1.6525342,1.5416869,-0.77014935,-1.1534461,-0.28449343,-0.34400062,-1.1662214,3,7,6,4,6,2,4,6,7,5,-1.4212897,0.40997537,1.1847419,0.485715,0.6990269
-10.11687,1,0.82031152,2,3,0,10.281793,0.55921125,1.8274806,1.0219477,0.80553289,-0.82338357,-1.1964082,-0.36320476,-0.41667769,-1.2017373,3,2,6,2,3,2,3,8,3,6,-0.45366298,0.7191656,1.5434687,1.1100096,0.43345911
-10.11687,0.00067479583,1.5515715,1,1,0,10.890422,0.55921125,1.8274806,1.0219477,0.80553289,-0.82338357,-1.1964082,-0.36320476,-0.41667769,-1.2017373,1,3,5,2,2,1,3,5,2,4,-0.45366298,0.72401501,0.82396576,0.59656358,0.22740219
-9.7673731,0.99982425,0.13191455,4,15,0,10.34919,0.22581664,2.1398273,0.4832086,1.6566187,-0.52139919,-0.63545721,-0.3228995,-0.51651257,-0.63057287,6,3,7,2,2,3,4,3,4,7,-0.94786903,0.34997986,1.8108465,0.63375982,1.1770867
-12.429968,0.96390922,0.25138385,3,7,0,13.088275,0.76799683,2.6767632,2.0557456,0.62101755,-1.1609157,-1.888366,-0.44014313,-0.45768858,-1.8244028,3,3,7,2,3,1,3,7,3,2,-1.3135133,0.50903036,0.70914636,0.36097703,0.34816933
