# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:36:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b5268e795a.json
# init = 2 (Default)
# random
#   seed = 488684317
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252136-2-51eeee.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252136-2-668f20.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-24.825829,4.0247242e-11,1,1,3,0,25.762615,0.12012264,0.18310666,0.021995255,0.1611114,-1.1126394,-1.0243511,-0.96786459,-0.75907671,-0.93913337,7,2,5,5,2,8,3,5,3,7,-10.415731,0.84790446,2.1897909,1.8567335,0.33305743
-24.825829,0,2.3350648,0,1,1,27.346288,0.12012264,0.18310666,0.021995255,0.1611114,-1.1126394,-1.0243511,-0.96786459,-0.75907671,-0.93913337,5,6,2,5,1,8,2,5,3,4,-10.415731,0.61690496,1.8731075,1.1555293,0.71757819
-11.277488,1,0.23023585,3,7,0,24.50497,0.25849733,3.4119099,0.88196957,2.5299403,-0.90606689,-0.44783211,-0.42369468,-0.64767122,-0.66254745,6,5,2,6,3,7,6,2,1,6,-1.8838296,0.4430265,4.3127737,1.910673,2.4021007
-10.751759,1,0.23979141,3,7,0,11.405282,0.32617996,1.3789244,0.44977751,0.92914689,-0.77887001,-0.50922055,-0.46182609,-0.75586169,-0.78408106,8,5,1,5,2,7,4,4,3,3,-0.54696893,0.88112271,6.7550539,5.9520314,0.8030225
-11.288739,0.95658082,0.32433241,2,7,0,12.265929,0.54839615,1.0999839,0.60322694,0.49675696,-0.58310423,-0.50553782,-0.42262664,-1.139953,-1.1229926,5,6,1,8,2,8,7,3,3,6,-0.63988786,0.80158952,0.83301391,0.66773522,0.16527869
-12.187631,0.81949887,0.44561949,1,1,0,12.241668,0.54157061,0.83169056,0.45041916,0.3812714,-0.63614928,-0.56527082,-0.48247696,-1.0843874,-1.0876231,8,7,5,2,7,4,6,4,5,5,-1.1827768,0.12101175,4.5928185,0.555785,4.0370335
-11.932335,1,0.4349528,3,7,0,12.332257,0.46588978,0.85676953,0.39916017,0.45760936,-0.679661,-0.56181452,-0.48856545,-0.96171486,-0.98016119,3,8,6,7,2,5,7,1,5,4,-1.107709,0.74875018,1.5700535,1.1755779,0.39447567
-11.666966,0.55048447,0.76951926,2,3,0,12.975698,0.22260444,1.1708145,0.26062849,0.91018596,-0.94395064,-0.59506432,-0.56187103,-0.59836287,-0.66799006,6,4,4,5,2,8,3,5,5,6,-0.91930456,0.64419716,1.5999753,1.0306995,0.56927575
-12.002748,0.98179568,0.34270054,3,7,0,12.500617,0.65290937,1.0204923,0.666289,0.35420333,-0.54670179,-0.53810143,-0.4445185,-1.3343919,-1.3027489,7,7,1,5,6,4,6,4,4,7,-0.8442899,0.462778,1.2373836,0.57263393,0.66474972
-11.861632,0.9634215,0.59862455,2,3,0,12.77111,0.54461952,4.6443796,2.5294198,2.1149598,-0.43540358,-0.31095928,-0.22991471,-1.3432494,-1.2666213,8,6,4,4,4,7,5,3,4,3,-2.7836278,0.39984602,1.862103,0.74455447,1.1175485
-11.861632,0.33333408,0.99975552,1,3,0,13.442272,0.54461952,4.6443796,2.5294198,2.1149598,-0.43540358,-0.31095928,-0.22991471,-1.3432494,-1.2666213,7,6,3,6,5,7,3,2,3,5,-2.7836278,0.37450392,1.3290462,0.49773303,0.83131321
-11.038933,0.98266999,0.22953834,2,7,0,13.02071,0.412383,1.1241419,0.463577,0.66056486,-0.69018846,-0.51465488,-0.45110991,-0.89352451,-0.90823275,7,4,1,4,2,8,6,3,1,4,-0.63237966,0.50534219,0.98358654,0.49704778,0.48653876
-10.56502,0.84130919,0.41268768,1,3,0,12.799565,0.42885665,3.0978813,1.328547,1.7693343,-0.59440128,-0.36116654,-0.30150601,-1.0076425,-0.96971,4,3,1,5,5,5,4,5,5,4,-1.3544351,0.68891664,3.72316,2.5649469,1.1582131
-11.506074,0.92957082,0.47641893,2,3,0,11.637454,0.51253432,4.3245528,2.2164817,2.1080711,-0.47279972,-0.31612391,-0.240946,-1.24761,-1.1790316,4,5,3,4,3,6,6,3,6,2,-2.4746439,0.6852406,1.5214466,1.042557,0.47888962
-11.535181,0.89541879,0.72561451,1,3,0,13.106908,0.19728841,2.9389362,0.57981807,2.3591182,-1.0512693,-0.51500667,-0.50066345,-0.5352995,-0.57788597,7,5,2,2,4,7,5,5,1,5,-1.6512248,0.51572438,2.6859378,1.3852036,1.3007342
-11.426394,1,0.99148597,2,3,0,11.434829,0.69374289,1.7817677,1.2360887,0.54567904,-0.43705576,-0.45849959,-0.3612077,-1.577088,-1.5107509,7,5,7,5,6,6,8,6,7,3,-0.58732157,0.54232405,1.6818156,0.91208903,0.76972653
-10.35659,0.33333334,1.8642227,1,3,1,10.801899,0.38689062,1.6607812,0.64254068,1.0182405,-0.68590525,-0.45452709,-0.39860702,-0.87281263,-0.87316463,4,4,3,3,3,5,3,4,2,3,-0.44923236,0.68379744,2.7537529,1.8830092,0.87074371
-13.131341,0.58399966,0.45384662,1,3,0,13.536641,0.35264085,0.66620427,0.23493084,0.43127343,-0.80780348,-0.64319698,-0.58258698,-0.78820371,-0.85207273,6,6,3,3,4,8,6,5,4,7,-1.9219801,0.51979352,1.6004192,0.8318875,0.76853166
-11.677238,1,0.24157313,2,3,0,13.21238,0.39454752,0.91989084,0.36294065,0.55695019,-0.73034499,-0.55982881,-0.4970908,-0.85321263,-0.88517001,4,7,1,7,3,6,6,3,5,4,-0.98868902,0.81712994,2.6856241,2.1945038,0.49112022
-13.242191,0.69590116,0.4540827,1,1,0,13.369958,0.43069722,0.63929015,0.27534049,0.36394966,-0.75229189,-0.63551684,-0.56456428,-0.8906181,-0.93785576,5,3,3,7,6,5,3,8,3,5,-1.9940093,0.60920403,1.8943737,1.1540601,0.74031362
-13.637968,0.95116915,0.34149607,1,1,0,13.925699,0.45144598,0.59363409,0.26799372,0.32564037,-0.75164862,-0.65107485,-0.57702913,-0.91542817,-0.96306806,6,5,3,5,2,7,2,4,5,2,-2.2590063,0.61837613,1.5792529,0.97657228,0.6026806
