# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-25 19:36:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b5222ef633.json
# init = 2 (Default)
# random
#   seed = 2101705023
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604252136-2-1fb998.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604252136-2-4c7e85.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,w_prior
-12.824465,1,1.1137282,1,1,0,13.250174,0.67616012,-0.54337807,-0.5492517,-0.45407256,-1.3775786,-1.3436724,7,7,1,3,5,4,3,2,4,5,0.27292802,0.19664363
-12.824465,0.0016179694,2.0293246,2,3,0,13.471957,0.67616012,-0.54337807,-0.5492517,-0.45407256,-1.3775786,-1.3436724,6,5,4,4,5,5,7,5,7,4,0.27292802,0.27968311
-12.030556,0.99148427,0.20609423,2,7,0,14.063111,0.49229544,-0.63621182,-0.52575484,-0.44982781,-1.0223883,-1.0241981,6,6,2,4,2,2,7,1,4,6,0.40522764,0.58370526
-11.983549,0.99704769,0.36818416,1,3,0,12.11084,0.44788102,-0.67141441,-0.5309208,-0.4611858,-0.94527534,-0.95797137,6,4,2,4,7,5,4,7,2,5,0.39454009,0.28463065
-12.273724,0.94369926,0.6617725,1,3,0,12.379446,0.57738508,-0.58307165,-0.52749396,-0.44103901,-1.1794918,-1.1627291,4,5,2,2,4,2,5,4,6,3,0.38121975,0.26179972
-12.273724,0.49695352,1.0139362,2,3,0,14.17326,0.57738508,-0.58307165,-0.52749396,-0.44103901,-1.1794918,-1.1627291,7,5,5,5,8,5,4,2,6,6,0.38121975,0.40280213
-12.071528,0.99132206,0.44449859,2,5,0,12.539164,0.35373285,-0.76444105,-0.55543281,-0.4996687,-0.79285124,-0.83091141,7,5,1,2,4,8,3,1,5,7,0.31600384,0.59101155
-12.267433,0.95783338,0.77389898,1,1,0,12.267538,0.29567425,-0.83539912,-0.57969501,-0.53274076,-0.70637591,-0.76138927,5,4,4,6,2,5,4,2,7,4,0.22274821,0.30742864
-12.169231,1,1.2180505,2,3,0,12.217984,0.32043946,-0.80378464,-0.56849173,-0.51778277,-0.74255506,-0.79022893,5,5,1,3,6,5,6,8,5,3,0.26738861,0.52157333
-12.169231,0.0452698,2.1336739,1,1,0,14.845082,0.32043946,-0.80378464,-0.56849173,-0.51778277,-0.74255506,-0.79022893,6,3,1,4,4,7,6,6,4,7,0.26738861,0.61580385
-12.218505,0.997203,0.28293133,4,15,0,12.462349,0.30729484,-0.8203091,-0.57427964,-0.52556553,-0.72322066,-0.77477108,7,8,6,4,4,6,6,2,4,5,0.24466104,0.30046036
-12.036429,0.99998914,0.49325574,2,5,0,12.204959,0.49570775,-0.63372496,-0.52552895,-0.44914231,-1.028451,-1.0294563,6,5,1,4,2,7,3,2,7,5,0.40539141,0.55739393
-12.410728,0.83845684,0.85855622,2,3,0,12.87529,0.60777715,-0.5684201,-0.53188937,-0.44226538,-1.2386214,-1.2160381,4,6,3,5,5,6,8,2,3,5,0.35788737,0.86575704
-12.535257,0.99512423,0.96862815,2,3,0,12.535643,0.24661146,-0.90429682,-0.60565827,-0.56605451,-0.6378437,-0.70781738,6,6,2,4,3,6,3,5,4,6,0.10864407,0.91901456
-14.296049,0.2675088,1.6413182,2,3,0,14.680479,0.099504791,-1.1681597,-0.71407766,-0.69463522,-0.45833338,-0.57552887,8,4,6,3,4,5,5,6,4,5,-0.62060045,0.51921601
-12.457467,0.9976875,0.41947424,2,7,0,14.406748,0.25902323,-0.88605301,-0.59861529,-0.55716831,-0.65478301,-0.72092335,8,5,3,2,4,7,3,3,4,7,0.14113594,0.61929209
-12.052838,0.9554678,0.71419059,1,3,0,12.920102,0.50439739,-0.62752954,-0.52506441,-0.44751931,-1.0439794,-1.0429573,5,4,6,5,4,5,3,5,2,6,0.40538776,0.61084634
-12.061392,0.99394727,1.0830089,2,3,0,12.101895,0.35813037,-0.75950677,-0.5538794,-0.49744899,-0.79963602,-0.83644952,3,7,1,7,3,5,2,7,2,3,0.32153121,0.74150547
-13.714399,0.1612396,1.7987659,1,1,0,14.034413,0.77319685,-0.52589107,-0.5923802,-0.49447849,-1.5892211,-1.5440725,5,2,3,1,1,5,5,5,6,1,0.050865033,0.372764
-13.500071,0.99890906,0.36637367,2,3,0,13.886784,0.75358605,-0.52776353,-0.58185326,-0.48389579,-1.5450468,-1.5016662,7,6,1,5,7,5,5,3,5,1,0.10810497,0.21645415
-13.094848,1,0.61629851,1,1,0,13.495478,0.71063982,-0.5347872,-0.56203246,-0.46507948,-1.4508048,-1.412209,5,3,3,4,1,8,5,3,3,4,0.21008684,0.36396644
-12.040648,1,1.0315868,1,1,0,12.662157,0.49805087,-0.63203499,-0.52538802,-0.4486873,-1.0326255,-1.0330811,5,2,4,3,5,7,6,1,4,2,0.40544991,0.85574006
-12.040648,0.84464579,1.7138461,1,1,0,12.174112,0.49805087,-0.63203499,-0.52538802,-0.4486873,-1.0326255,-1.0330811,4,6,1,3,3,6,2,2,4,1,0.40544991,0.6216587
-12.040648,0.1880579,1.9350784,1,1,0,12.535743,0.49805087,-0.63203499,-0.52538802,-0.4486873,-1.0326255,-1.0330811,4,7,1,3,5,5,5,2,6,3,0.40544991,0.69184963
-12.267372,0.97677406,0.44457737,2,5,0,12.503991,0.29568816,-0.83538078,-0.57968836,-0.532732,-0.70639594,-0.76140513,7,6,3,5,4,7,3,5,5,5,0.22277551,0.65342347
-12.992881,0.92536762,0.69499439,2,3,0,13.211424,0.19019484,-0.9946276,-0.64175815,-0.61031818,-0.56429959,-0.65205155,8,4,1,4,3,7,4,3,5,6,-0.078908412,0.47068819
-12.099224,0.86262304,0.95494524,2,3,0,14.181056,0.52466418,-0.61383886,-0.52460064,-0.44442546,-1.0806948,-1.0750664,2,2,5,4,2,3,3,3,4,1,0.40302886,0.40301891
-12.099224,0.88921549,1.1256686,1,1,0,12.276642,0.52466418,-0.61383886,-0.52460064,-0.44442546,-1.0806948,-1.0750664,2,7,7,3,5,6,7,7,3,5,0.40302886,0.617211
-12.003342,1,1.4095322,1,1,0,12.020232,0.39236037,-0.72312113,-0.54315503,-0.48156855,-0.85357196,-0.88087898,5,6,2,7,6,7,6,2,3,6,0.35801163,0.39776287
-12.159085,0.73185061,2.2807212,1,1,0,12.416774,0.32337343,-0.80017405,-0.56724872,-0.51609414,-0.74691116,-0.79372582,3,5,2,7,2,7,4,6,7,4,0.27217622,0.89912038
-12.159085,0.014674656,1.9652456,1,1,0,12.633532,0.32337343,-0.80017405,-0.56724872,-0.51609414,-0.74691116,-0.79372582,7,2,3,4,7,8,5,4,5,6,0.27217622,0.31570632
-12.345557,0.99067271,0.32339471,1,3,0,12.462183,0.27926311,-0.85749677,-0.58782086,-0.54334247,-0.68298512,-0.74294363,8,1,6,5,7,4,3,1,1,6,0.18867745,0.083529137
-13.802555,0.86526534,0.51215782,3,7,0,15.974754,0.12632875,-1.1128761,-0.69082324,-0.6680147,-0.48805604,-0.59646855,6,5,5,3,6,6,3,2,1,4,-0.41215929,0.34276885
