# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-25 19:36:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b5699432be.json
# init = 2 (Default)
# random
#   seed = 1641957994
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604252136-1-453a23.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604252136-1-5035c6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,w_prior
-15.573935,4.4112696e-10,4,1,1,0,15.830061,0.87634386,-1.8503406,-0.66375996,-0.61647218,-1.114535,-0.61647218,3,6,7,1,7,3,5,8,6,7,-0.43048791,0.60669929
-12.798068,0.53550275,2.3350648,2,3,0,12.79977,0.090941639,-0.60812628,-0.72183619,-0.48088705,-0.22169364,-0.48088705,3,5,2,2,7,3,7,2,3,1,-0.70112382,0.25453108
-12.128412,1,0.81345962,1,1,0,12.740812,0.13511573,-0.63621361,-0.68354885,-0.46933752,-0.23462982,-0.46933752,3,6,8,5,3,5,4,6,2,6,-0.3550237,0.6538801
-11.240939,1,0.99896538,2,3,0,11.927542,0.4102725,-0.9080675,-0.53850944,-0.44219234,-0.43441747,-0.44219234,3,5,7,2,8,2,5,2,2,8,0.37273105,0.35866076
-12.800506,0.28319502,1.4978362,1,1,0,13.120378,0.68731441,-1.3778321,-0.55308589,-0.50556515,-0.79323335,-0.50556515,3,6,5,2,8,4,2,5,3,7,0.25423893,0.66900669
-11.28261,0.99474972,0.29541395,2,5,0,13.550402,0.42959026,-0.93386455,-0.53424459,-0.44340861,-0.45482933,-0.44340861,1,6,8,3,5,3,6,8,2,8,0.38543573,0.63010174
-11.3105,0.9990698,0.48767665,2,3,0,11.313074,0.44047879,-0.9488246,-0.53218212,-0.44428911,-0.46665794,-0.44428911,5,4,7,2,7,2,3,7,4,3,0.39119264,0.44371527
-11.568813,0.92332576,0.86193808,1,1,0,11.581575,0.51155479,-1.054158,-0.52480139,-0.45359661,-0.54943013,-0.45359661,4,7,7,4,6,5,4,4,4,8,0.40493091,0.50516422
-12.117918,0.62559823,1.240285,2,3,0,12.395902,0.60591308,-1.2159499,-0.53156167,-0.47605942,-0.67359345,-0.47605942,3,5,5,4,7,5,7,8,3,8,0.35955695,0.59988639
-12.288445,0.94248407,0.70786982,3,7,0,13.168546,0.62876338,-1.2591935,-0.53610721,-0.48335158,-0.70602443,-0.48335158,1,6,5,1,8,4,3,5,7,7,0.33684356,0.49910357
