# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-25 19:36:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b5222ef633.json
# init = 2 (Default)
# random
#   seed = 2101705023
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604252136-1-1fb998.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604252136-1-4c7e85.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,w_prior
-12.762756,0.23438911,2,1,1,0,16.222776,0.21571945,-0.95221458,-0.62459236,-0.58950862,-0.59686688,-0.67650879,5,5,5,3,4,8,5,3,4,6,0.014994436,0.38782028
-12.762756,2.3243808e-07,3.5758455,1,1,0,12.765649,0.21571945,-0.95221458,-0.62459236,-0.58950862,-0.59686688,-0.67650879,6,8,2,4,5,7,4,5,4,4,0.014994436,0.17725564
-12.924628,0.99445528,0.40004026,1,1,0,12.924752,0.19729013,-0.98257334,-0.63684759,-0.60440416,-0.57323436,-0.65872189,5,6,3,1,5,5,6,4,5,5,-0.051082369,0.78143941
-13.12523,0.98158533,0.44123173,2,3,0,13.642266,0.17739538,-1.0169008,-0.65088802,-0.62123809,-0.54841392,-0.64026867,6,8,2,4,2,6,4,2,4,3,-0.13289441,0.49527414
-14.192049,0.98421907,0.5916986,3,7,0,14.362679,0.1046075,-1.1573701,-0.70953178,-0.68946259,-0.4638802,-0.57940197,5,6,8,1,7,8,8,5,6,7,-0.57627371,0.31078447
-12.147204,0.84279955,0.9061888,1,3,0,13.951337,0.32692726,-0.79583828,-0.56576698,-0.51407254,-0.75220736,-0.7979843,2,5,3,6,2,6,3,3,2,8,0.27784001,0.4752301
-12.233712,0.99075413,0.96827197,2,3,0,12.243848,0.56716021,-0.58850191,-0.52646631,-0.44115751,-1.1599578,-1.1452545,5,5,4,2,6,5,4,3,4,2,0.38725839,0.092154531
-12.233712,0.31726473,1.6867119,1,1,0,12.314067,0.56716021,-0.58850191,-0.52646631,-0.44115751,-1.1599578,-1.1452545,4,5,4,3,1,7,6,2,4,6,0.38725839,0.44586699
-12.129536,1,0.36367632,2,3,0,12.240939,0.53579032,-0.6067686,-0.52471636,-0.44314399,-1.1011486,-1.0930662,6,6,5,4,8,4,8,5,5,3,0.40032815,0.11877669
-12.076612,0.95505251,0.67304788,2,7,0,12.51337,0.3516243,-0.76682835,-0.55619183,-0.50074741,-0.78960971,-0.82826962,7,4,3,6,2,6,6,2,6,1,0.3132825,0.60353338
-12.113849,0.8154533,1.0948692,2,3,0,12.436201,0.53019035,-0.61028801,-0.52462521,-0.44375171,-1.0908275,-1.0839735,7,7,2,4,3,6,5,1,4,3,0.40181262,0.80183332
-12.113849,0.50961693,1.1525264,1,1,0,12.970878,0.53019035,-0.61028801,-0.52462521,-0.44375171,-1.0908275,-1.0839735,6,8,3,1,3,4,5,4,4,3,0.40181262,0.53933117
-12.079401,0.99877064,0.46486416,2,3,0,12.149457,0.51659869,-0.61916091,-0.52468107,-0.44553996,-1.0659996,-1.0621836,8,4,7,1,4,4,5,6,7,4,0.40436243,0.32216821
-12.382744,0.89725394,0.87875692,1,3,0,12.645839,0.27217166,-0.86733605,-0.59150564,-0.54809255,-0.67302252,-0.73513684,5,3,2,5,4,5,8,3,6,2,0.17274711,0.30200823
-12.95845,0.29880991,1.2060463,2,3,0,14.144633,0.69396487,-0.53861007,-0.55550813,-0.459315,-1.4151232,-1.3787049,5,6,5,5,4,7,7,3,4,3,0.24237015,0.5510451
-13.327713,0.99486782,0.25867175,2,3,0,13.330518,0.73637093,-0.53009427,-0.57338037,-0.47564997,-1.506861,-1.4652517,5,4,4,4,1,4,4,4,5,6,0.15252596,0.47490453
-13.371507,0.98586029,0.48321955,2,5,0,14.207571,0.15639011,-1.0549683,-0.66663209,-0.63985832,-0.522997,-0.62162975,3,7,1,4,1,5,6,6,1,5,-0.23370733,0.79394918
-13.544227,0.98311979,0.87178191,1,1,0,13.74628,0.14344935,-1.0793893,-0.67680523,-0.65176158,-0.50774692,-0.61057955,7,4,1,6,1,4,5,4,4,5,-0.30485565,0.91910261
-12.163954,1,1.5475131,1,1,0,12.384344,0.54711903,-0.59988981,-0.5251052,-0.44214736,-1.122192,-1.111667,6,7,2,3,5,5,3,4,7,3,0.39654463,0.51844527
-12.163954,0.0045063264,2.8658111,2,3,0,12.177602,0.54711903,-0.59988981,-0.5251052,-0.44214736,-1.122192,-1.111667,4,5,4,3,6,7,3,4,4,2,0.39654463,0.50484446
-12.912775,0.9663566,0.27020387,3,9,0,14.131585,0.19856012,-0.98043745,-0.63597994,-0.6033561,-0.57484325,-0.65992624,3,6,1,8,5,6,3,5,5,4,-0.046249185,0.46735769
-12.87953,0.99126989,0.45540996,2,5,0,13.532957,0.68366645,-0.54128107,-0.55180051,-0.45616941,-1.3933375,-1.3583491,7,5,6,2,4,7,6,2,6,6,0.26051626,0.013321657
-12.139541,1,0.81894702,2,3,0,12.729073,0.32929276,-0.79297506,-0.56479519,-0.51274139,-0.75574462,-0.80083268,8,6,3,3,4,6,1,2,5,2,0.28152886,0.76893063
-13.282578,0.38895519,1.4961127,2,3,0,13.398973,0.73162187,-0.530851,-0.57116793,-0.47354282,-1.4964234,-1.4553378,8,3,3,3,4,5,3,1,3,3,0.16390965,0.21349485
-13.44049,0.99039431,0.46512814,2,3,0,13.782341,0.74779217,-0.52847598,-0.57892204,-0.48101327,-1.5321336,-1.4893267,4,2,3,4,4,8,4,3,2,3,0.12362746,0.56341811
-12.035625,0.99410316,0.82262233,1,3,0,13.198195,0.49525153,-0.63405568,-0.52555773,-0.44923239,-1.0276393,-1.0287519,7,7,2,3,4,7,4,1,4,4,0.40537491,0.45559818
-13.789686,0.27873162,1.4562821,2,3,0,13.968191,0.77966806,-0.52545497,-0.5960609,-0.49825599,-1.6039568,-1.5582851,7,5,1,5,4,5,2,1,6,1,0.030252412,0.69401479
-13.242073,1,0.34237338,2,3,0,13.815638,0.72726731,-0.53158827,-0.56918642,-0.47167345,-1.4868894,-1.4462971,5,8,3,2,6,1,6,2,3,3,0.17403516,0.3074208
-13.812309,0.98670082,0.61487022,2,3,0,13.823241,0.78157329,-0.5253437,-0.5971643,-0.49939562,-1.6083104,-1.5624904,4,5,5,2,6,6,5,4,3,3,0.024008383,0.21427618
-11.990452,1,1.0540761,1,3,0,13.075992,0.40562552,-0.70996178,-0.53965082,-0.47608754,-0.8750079,-0.89872945,6,3,4,3,5,5,7,5,3,2,0.36918884,0.2661677
-11.990452,0.050199605,1.8573185,1,1,0,13.537003,0.40562552,-0.70996178,-0.53965082,-0.47608754,-0.8750079,-0.89872945,7,2,2,3,5,4,4,3,2,5,0.36918884,0.27807225
-12.343808,0.98804411,0.24575994,2,7,0,12.786045,0.27960703,-0.85702409,-0.58764483,-0.54311469,-0.6834705,-0.74332474,8,7,3,2,2,6,5,7,5,4,0.18943091,0.2588446
-11.996957,0.95838569,0.42041708,2,5,0,13.773378,0.46689357,-0.65569408,-0.52820444,-0.45577463,-0.97787647,-0.98582012,5,7,1,5,4,8,5,3,3,8,0.40107133,0.82232202
-12.040971,0.99260571,0.65861737,2,3,0,12.069934,0.49822641,-0.63190896,-0.52537793,-0.44865373,-1.0329387,-1.0333531,7,5,5,6,5,7,5,2,4,5,0.40545253,0.23662263
-12.41434,0.82460959,1.1215602,1,1,0,12.449781,0.60850357,-0.56809687,-0.53201914,-0.44232408,-1.2400543,-1.2173376,8,2,7,6,6,6,5,3,5,3,0.35722809,0.19648065
-12.952654,0.45238138,1.2175202,2,3,0,13.660879,0.19433274,-0.98757259,-0.63888134,-0.60685709,-0.56949914,-0.65592962,7,2,6,3,2,3,3,6,3,2,-0.062508421,0.37677356
-12.30482,0.98261138,0.49984432,2,5,0,13.655915,0.58484297,-0.57927098,-0.52838626,-0.44111968,-1.1938534,-1.1756202,5,7,1,7,2,8,7,5,6,3,0.37624913,0.89704187
-12.357881,0.98640854,0.82079052,1,1,0,12.436774,0.59675676,-0.57347739,-0.53006262,-0.44154443,-1.2169954,-1.1964696,2,5,3,4,2,2,6,3,7,5,0.36729846,0.88035029
-12.287062,1,1.3505725,1,1,0,12.555394,0.58063164,-0.58140061,-0.52786757,-0.44105671,-1.1857319,-1.1683257,5,1,1,7,2,5,5,2,5,4,0.37911513,0.70596673
-12.287062,0.04369966,2.2831246,2,3,0,12.287254,0.58063164,-0.58140061,-0.52786757,-0.44105671,-1.1857319,-1.1683257,3,5,1,4,5,7,8,6,4,3,0.37911513,0.58037232
