# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:46:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b55517d786.json
# init = 2 (Default)
# random
#   seed = 2026439510
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252146-1-3b82a4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252146-1-33aab6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-10.524441,0.98019096,0.34158777,3,7,0,12.949837,0.51305855,2.6604134,1.3649478,1.2954656,-1.5685736,-0.066362965,-1.1632936,0.080622165,-0.26171087,3,8,7,6,7,2,7,8,8,8,-0.96232149,0.27980177,1.8562358,0.51937805,1.3368577
-10.549233,0.59624902,0.60724044,2,3,0,12.463623,0.27557612,2.7600965,0.76061668,1.9994798,-1.1405567,-0.21673343,-0.65414061,-0.33502903,-0.10785863,2,7,4,6,6,2,6,5,8,5,-1.2680881,0.32587203,1.7291054,0.56346709,1.1656383
-10.747387,0.9624023,0.33468842,2,7,0,11.308605,0.35527375,1.1754342,0.4176009,0.75783326,-1.1683804,-0.23116862,-0.80667895,-0.17229884,-0.25893087,3,6,6,6,8,1,7,8,7,8,-0.63447051,0.46114922,2.0451181,0.94310461,1.1020135
-10.729993,0.96436497,0.56040895,2,5,0,11.558404,0.54820652,1.3849433,0.75923493,0.62570834,-1.4815367,-0.15533615,-1.171746,0.11788772,-0.34897868,3,8,5,7,5,1,8,8,7,7,-0.42541924,0.16457693,0.76867905,0.12650684,0.64217221
-12.859778,0.35046331,0.93673316,2,3,0,13.029213,0.76064258,1.105297,0.84073598,0.26456104,-1.7917671,-0.23221313,-1.7427397,0.39911308,-0.53653447,2,8,3,8,6,1,7,8,7,7,-0.94091152,0.19140671,1.0925568,0.2091227,0.88343409
-12.705494,1,0.2529364,1,1,0,12.878785,0.75720787,1.1842927,0.89675575,0.28753694,-1.8151281,-0.2186284,-1.7641976,0.40338304,-0.52885573,4,8,7,8,5,4,8,8,7,6,-0.84599978,0.48922794,1.3149506,0.64331056,0.67164002
-10.722039,0.7902504,0.46896239,2,3,0,14.849765,0.57101296,2.3624507,1.34899,1.0134608,-1.6641269,-0.076457133,-1.3240858,0.17438536,-0.31826286,1,6,6,6,5,1,8,8,8,3,-0.75588272,0.8909597,1.9806711,1.7646981,0.21597296
-10.751832,0.93998532,0.46788467,2,7,0,11.974738,0.39720125,3.5637868,1.4155406,2.1482462,-1.3827159,-0.082035973,-0.88189751,-0.12240504,-0.15395382,4,5,8,6,6,3,7,6,7,7,-1.80176,0.77374805,1.4473809,1.1199081,0.32747275
-10.751832,0.37568688,0.71893051,1,1,0,12.241645,0.39720125,3.5637868,1.4155406,2.1482462,-1.3827159,-0.082035973,-0.88189751,-0.12240504,-0.15395382,4,6,8,8,8,1,7,5,6,7,-1.80176,0.7187283,1.2992202,0.9337863,0.36543387
-10.176574,0.98727112,0.21874865,3,7,0,11.549009,0.45822581,2.231788,1.0226629,1.2091251,-1.4255273,-0.099992121,-1.0037482,-0.01321182,-0.23548031,2,5,3,6,7,3,7,8,6,6,-0.65418295,0.2754247,1.3397747,0.36900703,0.97076764
