trial_within_subject,block,stimulus_id,feature1,feature2,feature3,feature4,feature5,danger_feedback,agent_id,w4_true,c_true,log_c_true,bias_true,prob_dan1,sim_response,correct,performance
1,1,19,0,1,0,0,1,0,1,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,0
2,1,7,0,1,1,0,0,0,1,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,0.5
3,1,15,0,1,1,1,0,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5,1,1,0.6666666666666666
4,1,11,0,1,0,1,0,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5249791874789399,0,0,0.5
5,1,22,1,0,1,0,1,0,1,0.2,0.5,-0.6931471805599453,0.5,0.46288078850945796,0,1,0.6
6,1,27,0,1,0,1,1,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5274799579967833,0,0,0.5
7,1,9,0,0,0,1,0,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5415766082762582,1,1,0.5714285714285714
8,1,29,0,0,1,1,1,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5103648438864534,0,0,0.5
9,1,16,1,1,1,1,0,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5149804456588999,0,0,0.4444444444444444
10,1,17,0,0,0,0,1,0,1,0.2,0.5,-0.6931471805599453,0.5,0.4758093530273085,0,1,0.5
11,1,21,0,0,1,0,1,0,1,0.2,0.5,-0.6931471805599453,0.5,0.46354399672273783,1,0,0.45454545454545453
12,1,30,1,0,1,1,1,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5027395472532,1,1,0.5
13,1,23,0,1,1,0,1,0,1,0.2,0.5,-0.6931471805599453,0.5,0.46749633656826917,1,0,0.46153846153846156
14,1,4,1,1,0,0,0,0,1,0.2,0.5,-0.6931471805599453,0.5,0.49287525885946354,1,0,0.42857142857142855
15,1,1,0,0,0,0,0,0,1,0.2,0.5,-0.6931471805599453,0.5,0.4828858284741179,1,0,0.4
16,1,20,1,1,0,0,1,0,1,0.2,0.5,-0.6931471805599453,0.5,0.4708681563724136,0,1,0.4375
17,1,13,0,0,1,1,0,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5342572679787193,1,1,0.47058823529411764
18,1,12,1,1,0,1,0,1,1,0.2,0.5,-0.6931471805599453,0.5,0.523815968215437,1,1,0.5
19,1,14,1,0,1,1,0,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5362708032280684,0,0,0.47368421052631576
20,1,10,1,0,0,1,0,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5329278505790198,0,0,0.45
21,1,24,1,1,1,0,1,0,1,0.2,0.5,-0.6931471805599453,0.5,0.46806369205754433,1,0,0.42857142857142855
22,1,28,1,1,0,1,1,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5106695217669608,0,0,0.4090909090909091
23,1,18,1,0,0,0,1,0,1,0.2,0.5,-0.6931471805599453,0.5,0.47088690206807804,0,1,0.43478260869565216
24,1,5,0,0,1,0,0,0,1,0.2,0.5,-0.6931471805599453,0.5,0.48623998339358726,1,0,0.4166666666666667
25,1,25,0,0,0,1,1,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5145040887231798,1,1,0.44
26,1,6,1,0,1,0,0,0,1,0.2,0.5,-0.6931471805599453,0.5,0.48375478754270534,0,1,0.46153846153846156
27,1,32,1,1,1,1,1,1,1,0.2,0.5,-0.6931471805599453,0.5,0.5170501033034268,0,0,0.4444444444444444
28,1,8,1,1,1,0,0,0,1,0.2,0.5,-0.6931471805599453,0.5,0.48085174636790357,1,0,0.42857142857142855
