trial,Self_RA,Opponent_RL,Feedback_RA,Feedback_RL,RL_estimated_value_left,RL_estimated_value_right,alpha,Cumulative_Performance
111,0,0,1,0,0.9984655066743756,0.0015344933256243865,0.4,0.4954954954954955
112,1,1,1,0,0.5990793040046254,0.4009206959953746,0.4,0.5
113,1,0,0,1,0.5990793040046254,0.4009206959953746,0.4,0.49557522123893805
114,1,1,1,0,0.7594475824027752,0.2405524175972248,0.4,0.5
115,1,0,0,1,0.7594475824027752,0.2405524175972248,0.4,0.4956521739130435
116,0,0,1,0,0.8556685494416651,0.14433145055833485,0.4,0.5
117,1,1,1,0,0.5134011296649991,0.48659887033500093,0.4,0.5042735042735043
118,0,1,0,1,0.5134011296649991,0.48659887033500093,0.4,0.5
119,1,0,0,1,0.5134011296649991,0.48659887033500093,0.4,0.4957983193277311
120,1,0,0,NA,0.7080406777989995,0.2919593222010005,0.4,0.49166666666666664
